% drifting stream generated from medium.arff
% seed: 5
% length: 2000
% sudden drift begins at instance 1000 (0-based; the 1001st @data row)
% pre-drift class weights: 6=0.4488, 5=0.2975, 7=0.1797, 8=0.0357, 4=0.0333, 3=0.0041, 9=0.0010
% post-drift class weights: 6=0.1849, 5=0.2790, 7=0.4619, 8=0.0357, 4=0.0333, 3=0.0041, 9=0.0010
% post-drift label map: 6->5, 5->6, 7->8, 8->7, 4->4, 3->3, 9->9
% pre-drift realized counts: {'3': 6, '4': 33, '5': 289, '6': 448, '7': 183, '8': 40, '9': 1}
% post-drift realized counts: {'3': 1, '4': 27, '5': 171, '6': 298, '7': 35, '8': 466, '9': 2}
% jitter is gaussian noise at --jitter * feature std; class values match the source file
@relation medium_stream
@attribute A1 NUMERIC
@attribute A2 NUMERIC
@attribute A3 NUMERIC
@attribute A4 NUMERIC
@attribute A5 NUMERIC
@attribute A6 NUMERIC
@attribute A7 NUMERIC
@attribute A8 NUMERIC
@attribute A9 NUMERIC
@attribute A10 NUMERIC
@attribute A11 NUMERIC
@attribute class NUMERIC
@data
9.42824,0.40844,0.319132,5.92791,0.0282026,20.1725,169.882,0.994715,3.08301,0.428369,10.5546,5
8.20613,0.310034,0.439807,6.86527,0.0473778,18.5683,85.4386,0.996284,3.22709,0.635433,10.5549,5
7.00741,0.333397,0.332203,1.14328,0.0523185,40.1041,134.899,0.990545,3.13503,0.29303,11.1416,6
7.19758,0.19517,0.490846,15.7325,0.0576644,49.2286,137.411,0.999627,3.41476,0.359446,9.07806,7
6.46351,0.20053,0.490616,18.1466,0.0567801,50.81,224.5,0.999446,2.94081,0.639098,8.8138,6
5.96084,0.26244,0.282772,4.35083,0.0610962,31.4686,202.086,0.99647,3.68238,0.697981,9.9898,5
5.95455,0.285257,0.343506,3.1194,0.0425679,50.4684,195.63,0.991274,3.29704,0.511813,11.5251,6
5.78092,0.458313,0.45524,1.50741,0.0385378,30.8681,167.202,0.992963,3.13122,0.476752,8.8406,5
6.3045,0.356744,0.303078,5.45185,0.034674,8.1359,97.4736,0.992681,3.2556,0.41044,11.0681,7
7.35005,0.194145,0.266214,14.0196,0.0579211,45.8285,155.801,0.998283,2.95322,0.407473,8.77428,8
6.18617,0.245915,0.378974,8.18252,0.0454355,53.7597,209.145,0.995554,3.17762,0.472123,9.12615,5
6.48037,0.252024,0.438083,7.51331,0.0494677,52.204,184.768,0.99563,3.18907,0.524175,9.17268,5
6.38893,0.384122,0.186782,2.87861,0.0676325,18.4503,102.438,0.993264,3.031,0.374989,8.99247,6
6.33445,0.361374,0.194654,1.74376,0.0465942,48.3723,189.261,0.993066,3.15728,0.504108,9.44431,5
6.27425,0.290979,0.281819,4.52802,0.0265408,21.4491,107.787,0.989106,2.97095,0.643953,13.1683,8
7.58016,0.1938,0.292673,13.9359,0.0546785,53.4946,212.717,0.998798,3.14396,0.461679,8.99187,8
7.6174,0.268805,0.366444,7.46158,0.0381985,46.4308,161.337,0.99392,3.02395,0.332687,10.9876,5
7.58609,0.385138,0.280026,4.15355,0.0301042,8.20291,114.653,0.990572,3.00146,0.408074,12.582,6
7.0335,0.34873,0.308104,1.90709,0.0678154,15.5914,159.684,0.99436,3.1841,0.47467,9.35942,5
6.80404,0.223671,0.300306,12.3212,0.0350031,36.924,234.82,0.997734,3.35823,0.524297,9.76229,6
7.85182,0.280238,0.408458,4.65895,0.0583939,30.6045,150.099,0.996463,3.2682,0.514119,9.84713,6
8.01253,0.300687,0.36104,10.6543,0.0316518,8.00687,70.6067,0.993638,3.0557,0.402742,12.2097,6
6.40631,0.276292,0.219611,12.9461,0.0399077,50.9503,148.124,0.995243,3.2237,0.423868,10.6987,6
7.77886,0.208404,0.499298,0.889211,0.0348409,20.7779,99.3281,0.989886,3.03743,0.280289,12.1034,7
6.57642,0.504723,0.249006,1.68773,0.0482047,38.1159,174.035,0.992013,3.27416,0.565168,10.6516,5
6.97807,0.214537,0.215984,5.11111,0.0470719,39.4771,168.075,0.994312,3.33462,0.485149,10.4091,6
6.95167,0.22894,0.343256,7.04275,0.0316923,45.4148,115.903,0.992503,2.81663,0.545246,10.9675,6
6.13874,0.229519,0.268173,9.89754,0.0543566,72.7223,129.844,0.995321,3.15605,0.396633,10.3327,6
7.77856,0.401538,0.258702,9.44736,0.0598294,32.522,178.658,0.995523,3.02893,0.425721,10.9239,6
6.58433,0.167695,0.343553,2.37585,0.0312709,33.3989,77.4088,0.991406,3.22941,0.717933,11.2542,6
6.47609,0.297288,0.265608,3.93805,0.0380048,35.9742,98.0359,0.990341,3.19149,0.606747,12.6418,8
6.16022,0.238778,0.299273,1.69699,0.0440176,21.1906,61.6083,0.991626,3.31451,0.545475,10.4473,5
6.12276,0.360953,0.418735,19.2362,0.0700913,67.4164,210.096,1.00114,3.39178,0.527172,9.05926,5
6.77213,0.217139,0.366002,7.07051,0.0369796,26.8634,105.028,0.992,2.99022,0.825252,11.4859,6
7.29738,0.284953,0.291288,4.6377,0.0290913,27.2305,156.868,0.99299,3.07001,0.259831,10.4731,6
5.8165,0.147508,0.286035,0.932422,0.0384842,44.5459,128.853,0.992094,3.23376,0.507389,9.29045,5
5.79287,0.24359,0.278464,1.4073,0.0389325,39.6274,78.9983,0.987023,3.09607,0.284279,13.929,7
7.99289,0.246423,0.131281,17.2662,0.0359885,48.7561,216.289,0.999485,2.95129,0.467595,9.64922,5
9.76627,0.44082,0.398935,2.39905,0.0364197,35.5395,164.629,0.995286,2.96512,0.385195,9.20682,5
7.09927,0.370633,0.301378,6.44738,0.038212,47.1527,136.995,0.990187,3.16457,0.270822,13.5745,6
5.80056,0.27162,0.198297,7.3537,0.0399619,42.8694,144.762,0.994466,3.16959,0.483565,9.83148,5
5.54542,0.311177,0.303768,3.0274,0.0265497,16.5032,101.882,0.990885,3.23557,0.555646,11.1531,6
7.56304,0.187874,0.363124,12.8114,0.0338001,51.621,147.226,0.997348,3.18061,0.792792,10.39,6
6.11673,0.157799,0.341855,5.82118,0.0337176,30.5038,110.403,0.993867,3.31775,0.578926,10.2041,7
7.52499,0.280004,0.671758,8.03548,0.0371302,52.175,166.003,0.996598,2.89599,0.423204,8.90999,6
7.40744,0.238922,0.410686,13.9486,0.0679849,47.6679,198.756,0.997983,2.89185,0.419323,8.99207,6
7.33329,0.237826,0.223035,10.7225,0.044007,25.6972,79.4891,0.995445,2.86132,0.359686,9.66863,6
7.09625,0.186658,0.390626,15.4398,0.0454419,45.8635,159.472,0.999572,3.35044,0.757286,9.14818,6
6.37704,0.244739,0.311108,3.13834,0.0381629,41.236,113.38,0.991473,3.36134,0.661108,11.732,7
7.00022,0.163178,0.285396,15.0256,0.0512938,27.2541,149.496,0.997839,2.96328,0.389353,9.04064,7
7.60676,0.471198,0.272636,10.7428,0.0496328,55.8465,205.638,0.997451,3.23301,0.450187,9.32831,5
7.02434,0.241112,0.342414,1.29025,0.0287032,27.4754,110.604,0.989898,3.07023,0.3952,11.8349,6
7.29259,0.187817,0.243352,1.18294,0.0510896,40.8338,105.724,0.993635,3.52113,0.659426,10.4096,7
5.98172,0.216874,0.295722,8.54876,0.0348119,47.2431,125.076,0.993492,3.17368,0.38538,10.593,5
6.80861,0.243155,0.389377,7.64234,0.0435437,25.1617,159.869,0.995631,3.3302,0.591576,10.3336,6
7.05682,0.396329,0.239325,1.77509,0.0485029,51.2628,191.477,0.991828,2.99661,0.55706,11.3878,6
6.58046,0.26568,0.410037,0.98913,0.0524367,17.233,141.184,0.995219,3.42875,0.460021,9.93325,6
7.28784,0.300999,0.305026,5.16082,0.0545146,45.4111,162.226,0.993929,3.11046,0.450326,10.3219,6
6.44921,0.234381,0.254481,8.3332,0.05167,46.6685,181.443,0.995495,3.10448,0.490856,9.50588,5
6.40969,0.275905,0.192171,5.75681,0.0431512,66.8366,181.741,0.994428,3.30879,0.347798,10.1971,6
7.04097,0.370889,0.291226,13.9884,0.0416708,29.1853,138.123,0.994668,3.02184,0.962098,12.1492,6
5.94762,0.239198,0.328902,2.13269,0.0353713,41.8942,105.554,0.989206,3.17616,0.502118,12.3173,6
7.88832,0.332774,0.273913,0.723126,0.0440792,22.3642,105.221,0.99314,3.21115,0.540565,10.5319,6
6.59469,0.311806,0.246615,8.38496,0.0368084,20.872,122.249,0.993747,3.06578,0.374322,10.8798,6
6.95772,0.288509,0.30355,6.86267,0.0404475,47.2168,163.738,0.994795,3.29741,0.57235,10.6333,7
6.8211,0.198029,0.352564,0.745126,0.0216176,22.6985,97.7038,0.991269,3.22554,0.567134,11.1095,6
6.59507,0.420702,0.329964,3.08075,0.0330239,15.6886,86.4099,0.990034,3.28806,0.509008,13.3744,6
6.60313,0.218339,0.229902,16.956,0.0481837,35.9538,119.137,0.999236,3.07374,0.458984,8.78743,6
6.13007,0.261326,0.308218,6.42352,0.0499999,47.1462,161.967,0.992928,3.2184,0.603508,11.0124,6
6.28545,0.236473,0.292279,13.4954,0.0351691,52.7815,133.056,0.99575,3.1773,0.384998,10.627,6
6.90269,0.180919,0.367273,0.731169,0.0355192,39.732,117.403,0.993735,3.27175,0.949452,9.52594,7
6.64097,0.638233,0.283631,4.25335,0.0342379,19.847,76.3021,0.990345,3.11349,0.616084,12.9309,6
6.30449,0.213568,0.380448,9.42831,0.0438876,36.064,126.868,0.99318,2.95827,0.301054,11.1055,7
7.3037,0.169221,0.35566,8.04018,0.0298492,44.0941,114.253,0.992913,3.1313,0.40426,12.3765,6
6.83614,0.317793,0.360608,3.32474,0.025466,18.202,88.7958,0.99019,3.14875,0.541453,12.7594,6
6.02151,0.22832,0.148124,9.234,0.0478305,100.391,208.558,0.995658,3.05074,0.307357,9.10191,5
7.11684,0.240794,0.408156,17.9183,0.0468362,38.8653,144.401,1.00006,3.31967,0.385558,8.74116,5
6.64802,0.257996,0.282264,6.19888,0.0232869,26.5894,71.5573,0.992605,3.27348,0.528204,11.0249,6
6.82211,0.31474,0.43119,1.54775,0.0495369,3.77484,64.4729,0.993258,3.26593,0.467386,10.7283,5
6.79356,0.18771,0.282534,8.39738,0.0482564,50.4286,240.963,0.995417,3.21692,0.52915,10.562,6
6.1993,0.240263,0.270376,16.495,0.040998,47.4501,129.831,0.996997,3.22847,0.393771,10.5073,6
6.91742,0.19655,0.495,9.74757,0.0358754,78.6209,171.457,0.996485,3.15781,0.554813,10.1777,6
7.49449,0.215843,0.277344,1.37753,0.0444865,34.5733,103.743,0.991357,3.15324,0.44592,11.3371,6
6.32049,0.22935,0.508489,9.99763,0.0408879,62.0843,134.434,0.995384,2.86301,0.45257,9.01246,6
6.70873,0.33378,0.302565,15.8021,0.0540498,50.6119,198.755,0.997959,3.18762,0.494393,9.18169,5
7.53307,0.238991,0.403616,4.72032,0.0313277,9.80352,93.4695,0.992123,3.09477,0.390198,11.1142,6
5.66298,0.443789,0.41745,1.31543,0.0519497,61.3812,197.768,0.993299,3.01747,0.398313,8.9488,5
7.44855,0.139114,0.347582,1.56411,0.0548047,50.2589,155.471,0.994628,3.28636,0.791477,9.49726,6
4.83252,0.291863,0.235352,0.814509,0.043519,39.0118,180.895,0.989037,3.27983,0.343436,11.853,6
7.06632,0.132256,0.383041,1.66117,0.0443393,16.3535,118.423,0.992561,3.3234,0.905244,11.7358,6
6.43391,0.466673,0.226294,14.9052,0.0469879,51.798,186.21,0.998352,3.39923,0.60674,10.4574,5
7.14834,0.284323,0.344804,3.22526,0.0270954,35.6559,91.6236,0.990097,2.95906,0.323254,12.1771,5
6.70301,0.171873,0.204511,4.704,0.0451821,58.5387,159.826,0.994467,3.32593,0.652703,10.4466,6
5.95783,0.433237,0.322897,1.3598,0.0500743,13.504,117.029,0.991378,3.44575,0.446805,11.5204,5
5.99789,0.326944,0.273434,1.06518,0.184444,11.2584,189.769,0.992493,3.12711,0.613782,9.43653,5
7.38625,0.189753,0.292843,1.201,0.0573718,32.9243,132.956,0.992793,3.11274,0.491836,9.63199,6
