% drifting stream generated from small.arff
% seed: 5
% length: 800
% sudden drift begins at instance 400 (0-based; the 401st @data row)
% pre-drift class weights: 0=0.4256, 1=0.2292, 7=0.1548, 4=0.1042, 5=0.0595, 6=0.0149, 2=0.0060, 3=0.0060
% post-drift class weights: 0=0.0578, 1=0.1073, 7=0.1589, 4=0.2361, 5=0.4131, 6=0.0149, 2=0.0060, 3=0.0060
% post-drift label map: 0->1, 1->0, 7->4, 4->7, 5->5, 6->6, 2->2, 3->3
% pre-drift realized counts: {'0': 165, '1': 93, '2': 1, '3': 2, '4': 48, '5': 28, '6': 3, '7': 60}
% post-drift realized counts: {'0': 35, '1': 21, '2': 3, '3': 2, '4': 64, '5': 176, '6': 5, '7': 94}
% jitter is gaussian noise at --jitter * feature std; class values match the source file
% class codes are categories (see learning/resources/data/README.md); do not use them as features
@relation small_stream
@attribute A1 NUMERIC
@attribute A2 NUMERIC
@attribute A3 NUMERIC
@attribute A4 NUMERIC
@attribute A5 NUMERIC
@attribute A6 NUMERIC
@attribute A7 NUMERIC
@attribute class {0,1,2,3,4,5,6,7}
@data
12.7773,40.7468,47.9427,4.97542,63.9164,7.24294,75.6137,1
58.4146,27.6296,48.5801,4.9963,64.2629,75.0082,78.9285,4
45.7112,34.1604,48.3837,5.0164,55.7424,56.2707,61.0496,0
77.0495,55.3683,46.9974,5.00332,51.4338,77.6895,74.7298,4
78.2714,57.3492,48.3389,5.02666,50.8709,78.1674,71.6011,4
37.3864,55.5765,48.5149,5.0164,43.0266,44.4589,53.8725,0
62.7548,50.4074,47.7551,5.00116,63.9236,74.8299,77.0629,4
43.6573,35.2203,47.6293,4.9987,43.9468,52.7241,59.2175,0
73.6399,84.5021,48.1881,4.989,84.2467,57.8016,28.9925,5
34.2945,37.1707,47.9158,5.00449,45.8784,64.1121,70.376,1
67.7095,77.5099,48.5089,5.00907,83.4848,47.012,25.6709,5
2.67306,31.1635,48.107,5.01341,40.9142,28.2682,39.4882,0
3.83153,37.2827,48.8351,5.00832,66.9505,64.2851,69.332,1
66.4782,59.8188,47.4861,5.00912,51.5519,38.3672,39.8513,7
35.4259,41.3565,48.2357,5.01157,42.2322,33.5465,42.6071,0
5.84645,67.3874,48.4821,4.99328,30.8963,94.2233,91.0792,1
33.7168,52.6977,48.2543,4.99236,44.3226,34.9849,45.4006,0
69.3879,84.6409,47.784,5.00436,3.43845,55.8862,31.7747,7
67.0978,74.9538,48.5012,5.001,83.9946,46.787,24.8676,5
12.4936,42.1854,48.4688,4.99844,61.4423,5.64542,75.8514,1
90.875,41.6324,47.5129,4.99848,52.7965,74.9703,76.2516,4
42.493,58.5135,47.6356,4.98102,50.6922,46.2041,55.7117,7
27.2555,40.6187,47.9825,4.99747,37.481,39.0906,42.5088,0
63.3391,80.4328,46.8515,5.00651,36.9364,39.4514,43.6375,7
6.10902,76.2481,0.61857,5.0023,76.1514,57.9668,52.1961,5
35.5019,48.8464,47.767,5.01112,52.0534,15.0431,28.1013,0
8.20648,4.69194,47.7196,5.01216,57.4853,85.427,81.0968,1
34.0348,36.4383,48.0473,4.99081,46.6368,65.2009,69.6034,1
48.2399,29.5899,48.4303,4.9932,55.2229,26.1789,33.8415,0
66.5167,54.3214,2.03415,4.97979,67.4543,59.3807,15.174,6
39.797,48.0236,47.5156,5.02848,50.3171,44.0509,50.3998,0
37.0855,47.0079,48.114,5.00712,39.6282,74.4768,79.1883,1
24.1736,40.2772,47.9743,5.00628,49.6917,22.93,32.9494,0
47.1728,45.5072,48.021,4.99655,7.27923,76.5325,6.73753,1
51.7668,43.2444,47.9084,4.9984,15.986,30.3203,41.155,0
42.7841,50.3881,48.31,4.98622,42.2856,48.6582,53.5018,1
62.262,45.2261,47.8377,4.9771,65.6311,61.4391,65.9684,4
64.0881,77.6125,48.6776,5.00512,4.75417,34.5026,38.2031,7
0.811966,45.7557,47.8782,4.99912,56.9285,77.0615,81.3689,1
68.2135,75.5331,46.9085,5.01693,83.9865,47.1927,27.6912,5
42.854,36.4864,47.7644,5.0235,53.6735,36.3288,43.3953,0
43.3544,2.64368,47.7995,4.99975,57.3258,74.458,77.742,1
24.5075,35.0269,47.8174,4.98839,30.2642,20.3932,31.5582,0
36.6769,43.4138,48.9226,4.99268,41.8188,39.8095,47.3372,0
85.3812,38.9439,48.0376,5.01044,58.9565,88.2498,8.60324,4
40.3508,4.42618,48.1118,4.99332,55.6578,18.9806,2.04897,0
37.8339,42.2905,48.2155,5.00206,54.2018,31.4627,41.0995,0
6.56858,76.2313,0.80208,4.99279,76.4502,59.1013,53.0665,5
7.32286,45.0824,47.9358,4.98989,55.6655,79.6216,74.0951,1
53.7345,46.9391,47.6001,5.00232,28.1238,33.1001,42.3226,0
62.4312,50.2284,47.6973,5.00408,65.7224,70.9205,75.4116,4
34.1581,46.7858,48.3483,5.00834,51.3123,31.452,40.8152,0
85.8581,38.775,48.2918,4.99393,59.0091,87.9564,9.23258,4
72.088,47.0771,48.4006,4.99583,52.2057,65.9073,6.29572,1
27.4863,27.3504,47.3496,4.98384,43.6622,21.2577,34.4509,0
30.0079,28.3774,48.2534,4.98784,3.25435,41.2266,3.99799,0
75.7608,57.2557,0.898128,4.99396,38.5471,54.4721,1.80039,6
65.7211,88.1446,48.7176,5.0103,73.5132,4.29445,23.4397,5
29.0996,35.5513,47.4615,5.0052,52.4421,74.9277,79.6271,1
48.6834,58.5956,47.9672,4.99797,52.3663,73.3933,78.3013,1
30.1139,4.25091,47.7378,5.00891,57.1149,82.5539,85.126,1
69.1356,64.2552,48.2352,5.00088,41.4072,4.80608,25.4717,7
63.7643,84.4781,48.2604,5.00402,37.76,45.6403,3.20964,7
17.5948,3.62627,48.0793,4.99763,46.7848,25.0188,35.7213,0
16.9529,43.0004,48.1974,4.99788,54.4559,27.1179,36.207,0
37.1291,31.7659,47.6995,5.00407,45.2442,24.3022,35.3208,0
50.9741,57.0124,48.488,5.00289,41.9863,46.7159,56.2691,0
51.1235,62.5262,0.248007,4.99398,55.6095,69.9755,74.4876,4
59.8362,50.1673,48.5913,5.02657,51.8707,46.6234,35.5475,0
74.5264,84.1368,47.8076,4.9901,36.6865,50.7604,33.308,7
43.9941,54.4717,47.8462,4.99711,58.341,69.8517,78.1113,1
45.0356,53.9831,48.0932,4.99407,5.36209,45.8643,54.7859,0
12.1861,41.2844,47.514,5.01473,63.4822,5.37556,74.3573,1
6.7738,47.1543,48.59,4.99698,56.0143,78.2643,73.4746,1
66.5606,72.4222,47.5545,5.00176,30.6443,37.8898,43.5727,7
44.6835,4.0806,47.9219,4.99346,37.9725,26.5929,38.8803,0
56.0571,34.5369,47.1806,4.98782,55.7234,86.8498,81.7471,1
78.9601,67.4881,47.5615,4.99907,83.3272,4.9584,29.5817,5
58.0666,58.118,47.9024,5.01708,56.2526,8.87616,80.5617,1
74.4488,54.571,48.0186,5.00722,51.525,78.2794,72.7824,4
63.6059,52.136,47.7322,4.99869,65.677,53.0534,31.9704,5
8.99623,53.0028,48.1834,4.9947,8.43127,86.1409,86.5416,4
65.67,86.7587,48.0228,5.00387,71.5648,4.0928,26.3878,5
47.7052,41.6845,48.0565,5.0004,49.8659,5.16742,5.26316,0
43.565,32.0927,47.4983,4.99432,33.2183,45.7118,50.5783,0
42.0631,61.1506,48.4539,5.00855,52.767,49.6961,56.3404,7
41.7503,50.6852,47.7489,4.98027,52.6204,75.0805,78.2413,1
32.6356,40.881,48.4987,4.98953,34.5925,27.0945,39.8292,0
45.5672,34.6319,48.182,4.99889,44.2425,52.2633,59.3116,0
56.0828,47.0609,48.951,4.99887,57.0187,81.0401,7.62527,1
46.0233,29.0711,48.1455,4.99857,56.0818,22.0897,34.8312,0
12.5549,43.0038,47.7367,4.99666,63.3827,8.42482,73.0473,1
71.1352,85.6233,47.5973,5.01807,16.7343,54.9536,20.2296,7
65.4087,58.5651,48.8293,4.98905,46.7086,47.9836,53.074,7
